project_name,commit_hash,ID
cron-utils,ff67527e69868a2c2b05ab8a1ddcca8d8f896e44,1336
cactoos,7775a67e7a6ce47f8a6a54309a21221147cb0328,400
fastjson,c929dfe9bbebaf28315b161c8d34846ea922062e,75
fastjson,7cc1a5e8fd3d021f970900a01b51442699ce36c4,589
java-util,20cbc65e6dce821d08efa9620f455020635013da,497
java-util,1_20cbc65e6dce821d08efa9620f455020635013da,497
closure-templates,a3632fa5c95d50095999bf56d2a63c35dbe1a85e,968
zip4j,fd6b4ce84e25f9e16babd8e127d1a0be308ebe13,1693
commons-compress,9bdacbfb9631d3a3710a64f35482c643b78a2e79,295
assertj-core,df58d622a8ea4d68697559787089884fc2b80bf8,1749
crawler-commons,569ec9b8cd7f83a7f311bf0cfcc7c2e6cde0b5d8,484
rtree,08a6485f741c74d1b4236685e3dc6c0b6b0da08d,1240
vertx-codegen,3f9a7371eb6973fc52b28bf713a2dc10c44aaf17,999
closure-templates,ffd8586cc39cd5bfb43ec8ddd9a293a999c43003,959
spoon,91f9fbdcecce19f3b70ca82c7deef39f900075ae,138
HikariCP,d6ddff7ff528e980907c1bd171022b27a2344a97,457
fastjson,010691b365090a312d096dde96059d4fd2cb90ea,41
fastjson,0bf6cc85ad48a23b5f53447614f9f3e5d6795cd4,1562
vectorz,97eca9430fb96fedfec43e04c10e596bf064d37a,102
gauge-java,8ca94723ca24278fd103ba6e446d171d5a46eb9d,1218
fastjson,1b3fe247e4138566eb1b43feae2d8f0ecda65a5c,432
fastjson,89a4352e54257266615c0cb3a13ccf9149f8fd04,518
fastjson,d2833977b4125636de66c808efc8353ce9a7a3c4,487
fastjson,4061f6a3845e7a3ecdc3997abcd01c03e0714853,1552
rxjava-jdbc,27557f1879c00eeffb733fe1b1ccfa1e1834d363,663
fastjson,d48df21c69236ffb13213c204001be665b014540,550
streamex,276f1008555b5c39a8ffb3ab9b68775e67d97713,905
jsoup,13c2af3f24fceda5b44776a5257112ac7218d038,780
github-api,79b49a469c123335585953de1f57e106909245b4,864
cron-utils,aeaff59fbbcaf65363ac75eb29cb589ed6c855f8,178
commons-jexl,21a1cfca333d32e373d4955df9a82d5bb7822cf1,528
fastjson,02e9deba3f6e4356a89d54d86adac379fd5de8f4,244
univocity-parsers,48fd5fd661f52e8b98347d81181b2f7c8123054c,32
fastjson,3d5218c9eb06ecb5c5066b3e541987e1dc8f0729,610
equalsverifier,4167e66984e3654fe7a916ed666a98e3a68ba50c,383
java-util,d8a1ed2b783de1a8933234ff19bff4c75467ee54,522
stringtemplate4,8ad2c3dbdceeb33266da748fc209b45218916f08,740
partyline,77215c1d00fa1438e2aff9632b33697ab5bb774d,110
partyline,1_77215c1d00fa1438e2aff9632b33697ab5bb774d,110
encog-java-core,d8a143b7c90bbfe38ddd36db5b483057e4abebe4,1000
cactoos,ffcf120718db7521711139f292d2b71c7aea27a5,425
cucumber-reporting,51dd25432c74003acbecb5d99cd2f30ab0505f5f,225
fastjson,30116a9f30c28dc3bae7885b37f2d94a5db5274f,593
fastjson,ef50a5b756a6cab1ab753f4a661bdfb0ccbd6b7e,368
dbtools-query,f600e200eab32ca0d8c5c0f73adc98cfafd71bd3,430
fastjson,d50b584f3e9ffd37d82ac0cad62c196707417957,508
fastjson,67f5c9da2ce0e7582610ac9408aed99ce6557f6c,577
univocity-parsers,34632ebd31c651d7d84eac0af73729e244c0cb9e,42
reflectasm,7c3d828cc72ca6f1f58ee2e45526d5073fab33a5,666
gridss,3dfb4f4a8fb7124763aa746d9b8576db5571b48d,1572
takes,548a9397230d52e37c71635645d769f6f4c10825,1736
univocity-parsers,e7c1d0c8b888cc09fe4b6afc61ea6b5f1eb98a72,64
commons-beanutils,8f67c1bbb9f09d82ae537aabe76979fd13827d0d,1331
fastjson,21c2f4b2f963c044e4adafef4ddd966661526af9,96
vectorz,f2b1c6a625e6a462a94d9fe9ddb1e51843b5d768,107
fastjson,ba8f4cb77a2f37497012499660ac2a82371efc5b,356
spoon,a4a9b20407d1a6af69c2e9cdd942ed4f8fd7c4fd,142
classgraph,ec4b7248f4c0952175a565ea692450af66617fc3,1334
neo4j-nlp,fcf2e530f2a54ac92f3a972c976895a748cca0bd,85
config-magic,daea67a25d0053dd5fedcddfa87d9dbc46a6d5a0,912
jongo,ab5d27f6f6c3750846aeabac8371a705fced4af4,204
cron-utils,1ca44547bfda1b7f86388df3095bcdc1dfe29d0d,104
java-tool,69edb04cf5e8bf9a478c7afd80a1f56e70626a8b,633
closure-templates,c8858e098f45e874f328a805c980f3f1ed564abe,975
spring-hateoas,f008e751ab9abecac96ed00d63527cf8fe108571,696
gitlab4j-api,f94a51d7e590159fffaa47c898cb7602569d99d9,190
HtmlCleaner,903a6a764a50fb6abc18ad48ec62c85c79207afb,658
druid,db187586a08cef19923064c9f88bd1f495919128,871
classgraph,0f7234b8c785296872b0f9a05f4674e8c3389716,57
equalsverifier,1_4167e66984e3654fe7a916ed666a98e3a68ba50c,391
fastjson,2f1127017be74efe89a16eb08d83dd629728faa2,805
fastjson,010fc0ab5933f3aa001b868be9d164f2bd31f231,626
fastjson,199b68352bd358cabb388a7a2d883ca233a30899,82
fastjson,958cd4cf97d9902101a746c75c22e8a1bef337f8,226
fastjson,cdb820925ce2e3e1cbd9646c214d998d0b98a7fd,466
assertj-core,337f99eee5cdcab9270145c47b429cbc48fb0134,1748
jsoup,182f9033d552713c2e6cfdb93259950e169bc5e7,796
fastjson,a2f2212eff39239a2956f7fd11e03555a414c28a,310
jsoup,78a028b9f6411c68782c1b98b2097c549b6e7940,799
fastjson,75cea7753a57847538ca9c6c59b0687cd9589b7b,1770
jsoup,f1d8912a4d6706ab9a8906eb9b4588e8fef2c86c,794
gson,23e2916947940864f828505531aa130fba6d8743,1709
docker-maven-plugin,eb469236deb13b01628b2863f6d8189da645ec30,902
commons-compress,1_9bdacbfb9631d3a3710a64f35482c643b78a2e79,295
cucumber-reporting,ee01ffc432dbdc315ee0d278958fa4591fbe5e1f,1301
vectorz,59f06be9dd7d63e558448e4c3d1d0d95b011462e,1311
fastjson,ef6c08a304ba53d376d8dcde9c4eff2476e27b40,182
fastjson,ce055537903a4f9e2c62116a0f76c2d93b287584,337
equalsverifier,6fedf6c696962b634ebc7bb6161b10226687f3d9,399
fastjson,c71dd0b58d8db5bae835c84b1d80e8823908b17b,448
eo-yaml,3171c848d42b7d32c69a3e608f6d30bfa39ad390,155
spoon,4efa8010e070e6b02abc6893b9d4e73502c1aa6e,157
jsoup,57bce6dc8424637621f6b660855f23e72a08c4b3,1344
JSCover,14475c403c83989e61fc23a53022da6333c70ad7,841
HikariCP,1_d6ddff7ff528e980907c1bd171022b27a2344a97,457
fastjson,fbbe4f097747478c52734f811c48f50079549949,711
fastjson,05b9fa95d8dd353cce02d5ea55388c73bf18e1a3,1568
equalsverifier,bc527ca7d56bb32fe082fe1aabc151348aad034d,376
jsoup,436d119977bd44376e9dac92d82b21848a69732e,1296
fastjson,ce3c5465bdbb55bce36f9acd02704fb9c04207c8,233
druid,df8d99b468e85aed87351b48e121414325165533,823
fastjson,12fd92fb1c41e5b9aa6ec4455d8802911e179052,154
jsoup,2cce405d1eed3536b222f830220ef32f5a2937d7,750
druid,5804eea0c9b01411babac031bfaee089bf34bd37,820
jsoup,8749726a79c22451b1f01b14fb2137f734e926b4,752
java-tool,35d2564774ca921ca3b53e1890fc70a370dacdad,1579
stringtemplate4,1_8ad2c3dbdceeb33266da748fc209b45218916f08,740
univocity-parsers,50ae63fe0585a7fe0da4a8abe1f42b15546a02c9,71
jcommons-lang,eaa9de2c7f5391f1e3f8a82674b68f31d7f3a8ab,660
scijava-common,c4de809369ec0fc907fc3581cb34d51667c1f3d2,1687
Tupl,857b59d531b38274e73d5bd10266a92214016fd1,124
java-util,1_d8a1ed2b783de1a8933234ff19bff4c75467ee54,522
scijava-common,c68bf459a9be52c6c4070e2122a4a1dbf9966466,1683
commons-compress,915fdd3fcb55f81fbb4f63f9f9752c329488c524,296
garbagecat,cfe2e60b7ca29f53e669f76d0195b1b1fe57fdc0,445
gwt-crypto,da87907033e52830aaf8cfcd27f7d53bac4ff6b5,849
stream-lib,b05dbce28a6dab82f20f31e4da28b29d2b736cef,667
javaewah,f720e70f48b8fe4a68c8c82074427f1fae7909a0,316
aliyun-oss-java-sdk,f1851fb28eda885dda9f208fcfee8234a76d1930,1716
top-push,09fee8dc8f80afa200c4357ff7c70ab75a38c18b,661
fastjson,8946cec232b4cd95b35cb804f9f747c28286cce0,603
fastjson,0867549b20c6a70fde8a11b41116034c2e94083b,1
futoshiki,caeea3833136af1f960370c0ca26a7c6b448c422,645
spoon,69dccc0a54cf05a3d32bdc80346c3312c2b5741a,1591
mybatis-3,f301c5a4fea7b3ceb69a58eee388bca2711d46ce,876
fastjson,57aff945aae44d0adb86467133b3e3dc19044d5e,200
fastjson,d77d469a821373f6b4ac8bc52306e35fd41b0a34,61
rtree,a7a984a8d5c5baa83d4919f87132ae074ef0c51d,1288
fastjson,1_21c2f4b2f963c044e4adafef4ddd966661526af9,807
spoon,e4ac052e0785ed56c1b5876a0221276f8119a331,1518
fastjson,ddbcc80972e780227f924b03135b23f4b7060fec,1767
assertj-core,5db57c822a8df11ec657767c502a083c1dc5f21d,1753
fastjson,1_cdb820925ce2e3e1cbd9646c214d998d0b98a7fd,208
fastjson,76da49cce6107ff399427ee12cbb7379744a70f2,1575
jsoup,ea1fb65e9ff8eee82c4e379dc3236d09a5ab02e1,751
jsoup,f71712ba5d28df09c9a5b6e3c8a37f05f5e3372d,754
crawler-commons,ee69049db0eae41bfc0549ac7fa4f3f6058f5f49,476
fastjson,33eaec097f6cf7c23c7cf8dc08f9ca7b21f9f54c,130
SmartApplianceEnabler,8b453fb23e11abd3b414a0de3158956b71d8d1eb,1536
closure-templates,f22140beb890e1cc9ff8fdfe41612dc4301495f7,970
Tupl,522226ffe0e5eeb9b135d686d9e0d754188b0651,132
javaewah,89f5658f1ee5c57c256ceba3dde7462256aac83e,320
fabric-sdk-java,4c3f8fc6a524beb094cfeee93228e01607d5c52b,1744
univocity-parsers,1_48fd5fd661f52e8b98347d81181b2f7c8123054c,20
spring-hateoas,f568845146d28a35795678d3b3d4583df519e3c6,329
jesque,97cdb6ee6d5e5b4c1e16af1beea486628afa6723,1722
vertx-mqtt,fcb356baff4e4b61627d44dc71ae668077c341d9,1256
spring-hateoas,d0ff83c62ec0901cdf827c889197760491e5d1e7,695
GCViewer,9b0959053c615226611f8ecc39caf1cf5e8132e4,270
exp4j,7a65306acd6d5b85a120e5c3e899a3b8bce4fd39,1243
java-util,765b42990327d81fb54f6b49e6dbc943b434f675,523
fastjson,4a00e8d4f5dea920a84fda05ff470d2b3c66c7c0,1771
fastjson,dba0e92448284de00159f8933842d2f10bc13259,381
HikariCP,b4f25170b3eae359166cab5c56f846294c25097d,1343
fastjson,0c88e4961730aa81bffcaf8f480193095a114937,490
fastjson,2_cdb820925ce2e3e1cbd9646c214d998d0b98a7fd,347
fastjson,5bb5616218a627d3217412674d0e7e183aae10cb,342
jsoup,f36b950de16f6db134bd98969cd8fbe578d37480,772
fastjson,1_d50b584f3e9ffd37d82ac0cad62c196707417957,393
classgraph,fbea81fb7f02b3a9d6313075fdd5822aac0d56fb,22
fastjson,8d74f9e5a034888610ca3199807e2eec64178210,97
fastjson,9a73b31ca0b97e66876481c0542d43542f6ca5d3,462
vectorz,415cd5db70cfb41511ecb3d89d4d99fe9825e895,140
fastjson,7b416faa1015ce04505e88d1f9b0575bcf13657f,72
univocity-parsers,15ca061816b19dd2988ba0bc3705f8ef68899b3b,43
ews-java-api,cf42b78594fa7f4aa2b70bf2f9c17801f8feead3,845
java-util,3bc9460ab8cc7db1facc90be0c1d2b695758014c,496
closure-templates,5fb13f9b1fe95c71dddaec499d64d767c8f252d3,960
closure-templates,1f0f5b630801231fe57a07e1d4f522806329e17c,951
async-http-client,6ae67d7b96d82abadda57bba1122f4b50f181b52,1733
encog-java-core,a4d344409bdbd4a1ee2cb54b8543a65564422009,1001
cron-utils,fe62c30f1f8fa0b15570656d104ab0b6b63ef7e1,181
jongo,7d9fb0d5d4bae31b08fabdda27eb7270ec529cf4,209
netty-socketio,e693aaf36b9df00adb78d1698987b7dea2dd9679,840
jsoup,1_8749726a79c22451b1f01b14fb2137f734e926b4,779
logstash-logback-encoder,c88fb9fc0bc38a6041bc430857c4f7cd7f2d80ff,561
fastjson,1_76da49cce6107ff399427ee12cbb7379744a70f2,605
fastjson,1_0bf6cc85ad48a23b5f53447614f9f3e5d6795cd4,1570
fastjson,660f57fc78e8f8d939b22f6ede7df353bf1aeccb,1554
spoon,48ece517d6d0a8f78279163ff8beb4bea191aa83,257
fastjson,473a4110a7d25fb91a2cdde4d297484d2b23818a,396
jsoup,277949e7115059f6f0071e1b3418b6f6cbf48e48,1596
app-maven-plugin,8effcb6b0400f2023505542d0e8a2b01877a9577,652
equalsverifier,848a6f14bc93b1983eece0046ded3b83f839996d,411
druid,f9adf9e72a5d58b397a7010ef0d4c4bfc558ffdc,1354
fastjson,2_0bf6cc85ad48a23b5f53447614f9f3e5d6795cd4,1560
jade4j,0aa1b10b907a015428c7fd8bd1df98e379acf9b9,218
java-faker,e1151d6cca4920cb7c3bbc38011baa3de609c7fc,11
neo4j-nlp,b378a948f791c8bbab5c968a43747fa13e04053a,81
CFLint,3a1a8595766e8f591d1cc7e8f1469bd8df34f4cc,31
riak-java-client,0d82a1a488a836d1c37d1bfe221f26bd233bafa2,954
LogicNG,0371a73fcf50ee68f1f38c78254c9c64d847edf8,363
univocity-parsers,4b1b8cceb103ae16f86570d5a162fa6d0c3616a8,1428
java-xmlbuilder,33c7ebe7eb22dbd425ddf583505c2f4627a38809,631
jesque,1_97cdb6ee6d5e5b4c1e16af1beea486628afa6723,1720
dbtools-query,7b62fe6fe211e6ecd1f2f0671df4897e9f885f8d,1249
fastjson,91f3aff0aa635e1bca724df76ff61228012d85f7,202
classgraph,afc0608581e529a7df80e8ef4589eed581a73061,16
fastjson,1ffa44c25e367981762d2ea29f120b719846a94d,21
crawler-commons,03163d0b3f9151b3a72ba80a80f012b8c567f235,1352
gridss,6c9ad0d7de2b0a26493e3fd3a83cb5011ae9d34c,619
mybatis-3,a91f6c8e720145052074cd74ae9c12399880f4ca,1269
vectorz,9db4296f020a9b268bef5a6f700f1ef641f3cd02,98
spoon,2f594e5ca849ab1f8bda0c4204bd70f196f20138,271
fastjson,1_8d74f9e5a034888610ca3199807e2eec64178210,713
fastjson,1_473a4110a7d25fb91a2cdde4d297484d2b23818a,384
jettison,145a74a5234e424244c0efbf07552ff17cd647db,534
fastjson,1_7b416faa1015ce04505e88d1f9b0575bcf13657f,141
rtree,4b4c7487ac40f68e6ef2d2edeb894a9d5682667c,53
druid,6a26f35ebc1630f7a6bf0a13c9252b059953ee75,886
eo-yaml,c4f4d4d6091de781f6448bd6973b06684f5168f6,166
jcifs,dbe4fea4c82c2969a56b6a80ed403a2e86066ac5,650
closure-templates,ed1369a3a6fcaea78d0418af5c696217cd985f05,966
closure-templates,1_ffd8586cc39cd5bfb43ec8ddd9a293a999c43003,959
influxdb-java,bf0ef8bdbf7693ff2cf348066c3ad1c464725007,662
univocity-parsers,1a5d197a1781737c68c75a19bdabfd2902eb30cc,39
Tracy,f8bf848f08c4b351584ab599a405aa13f6d73455,618
cron-utils,190b51de680b0b55b4f3fff466e4299516074a0f,99
closure-templates,6efe470dc3d9119886827e70bc2641f62b23c4dc,976
univocity-parsers,239e35f1bb861ca184bf87df2b0de08eb9c5c922,54
java-xmlbuilder,d3d8bbee0005e8e36ec63b01b51159b8a8ec57b4,632
fastjson,56272ce478a1542972598a0d6ad699436139dfbb,354
eo-yaml,dfc4e7fb7974945b8aa9fb42dcd406629c7d5b5c,158
fastjson,44b945b2ba2a72dc36ecae3ad68c01f0bd353b5f,517
logstash-logback-encoder,10396b8c147d51490602c5881893f09d7e6e260b,562
fastjson,34342bec4f11298c9a52997ad066c19e47726e1e,197
fastjson,2_7b416faa1015ce04505e88d1f9b0575bcf13657f,147
fastjson,18a99f2d449321393f57d50e2fbf35ca5748fae5,50
fastjson,1_57aff945aae44d0adb86467133b3e3dc19044d5e,1457
jedis,f25d70916c5267fd8185d6a9a1f65ec08b25619b,282
eo-yaml,1_c4f4d4d6091de781f6448bd6973b06684f5168f6,163
fastjson,be167060cba49aa15fd600b0f878eda2048a4eaa,405
fastjson,1ac787a0a6cb8ee72bd2621121cf1af6aea3f630,558
jsoup,38049ce2808cafce3884c25c4613aaaff9f2d0d8,759
GCViewer,3aae01f1620934a9a5f05719f896741177f1634e,262
javassist,91f6abdd9e1e637251e9bfae381afc0c6a47c1b9,651
LogicNG,87f078c124e5611be639dda3df7d26b7ac5bc74b,374
cron-utils,ad5c907cb8ce0e31ddae131d51df89c78475c426,128
cactoos,5771bc881e19fd56c1ab3ca05a59dee5b47b4272,456
closure-templates,1_a3632fa5c95d50095999bf56d2a63c35dbe1a85e,968
stream-lib,e4a8d65ba10d53becccedba91e7ec676556151e8,671
spring-hateoas,8c4824245e6df47407209403a8516fd66444c77f,241
fastjson,2_76da49cce6107ff399427ee12cbb7379744a70f2,165
fastjson,f85f1871b1d0e5b85d8bb23abb7aef35aceb1e35,62
druid,94638ad16faa5aebaf5d0523314ac6eee7940e67,846
dlnatoad,45d0d1be82915ca6680af7ed8d8c2216916a8272,664
rtree,1_a7a984a8d5c5baa83d4919f87132ae074ef0c51d,1286
fastjson,0592df5c881f0f5c2bb3ed21e59288c42c83a88d,525
fastjson,1_ef6c08a304ba53d376d8dcde9c4eff2476e27b40,206
equalsverifier,1_848a6f14bc93b1983eece0046ded3b83f839996d,398
consul-client,2220fe4969b4d1f91fe380543b717ca11be74d72,743
jongo,1_ab5d27f6f6c3750846aeabac8371a705fced4af4,207
cactoos,3796bf19195a07490f262d3aea96313d2c23afd0,414
univocity-parsers,e51b0958af69e677aa742cf4dab068654aca38dd,27
blade,6025261295098e70009f20132065be194c312fad,419
java-faker,31d9a5f2f33b275eb11adde9fa864a80e0bfd65b,9
CFLint,4731bf45805725bb1d3eac58f9fad8a4b8701f3f,33
javaewah,d679cadb706d958cd77cf1b7ce9da28d00ce0b08,306
javadbf,00efff7d04d117d8eb343cc864e214589fee3a89,1756
spoon,92ee4ba218ba99be72762b079b1553d0c2401ff2,134
fastjson,78568ee206ffc302c591691cebed2526a5778d9d,699
druid,33914b35dfee3a46b3999f7f0a196d3573bdba24,842
fastjson,b1222868654e6d508374110ae35e48613acc45ea,221
druid,ad4403deface9f755152b9ccc291245209dff017,851
fastjson,e4562183cf45c0c5f77c446350da6b89ccf49687,370
fastjson,52652252e7095ecb11bfe8baddd2a087c04fa14e,36
vectorz,8ac11debaf7e4221721d6be6ae95377cf9f7d0db,117
druid,6c875e1ee0edaee72dd76c7aaf929bfaca518092,901
partyline,e7b61e6085d635231a4c19c41224bb3b0e3925c2,115
fastjson,2_57aff945aae44d0adb86467133b3e3dc19044d5e,1456
ice4j,513fb588d65de5a1437f50c51313a98a1fe18e58,599
memoryfilesystem,c14b3677fb45429018e21fff5016abd9e15dc922,60
CFLint,d913e3964f08e293f02208378f644ff027042306,30
jsoup,eb95cc7662dc5c438de8d9ef47ccf131bf7191a8,1346
equalsverifier,1_bc527ca7d56bb32fe082fe1aabc151348aad034d,401
fastjson,6326029f04de93af06465090199eb045d7b8eaf8,341
vectorz,115bd172d7a310f16dea9ca465b9c41a5140f8b0,1299
jsoup,8391b7231a2519557d41209d728acc4f422af381,770
fastjson,03cd1676a16d00c5e9001379f73e20975516e8cc,112
jsoup,e45e53c849197be70364a63db8a7c6c8971c1ead,1302
